title,price,mark,score
"HAMMER H Rock Télephone Portable Incassable Debloqué IP68 Résistant Etanche Antichoc, Dual SIM, Batterie 1800mAh, Grosses Touches, Radio FM, MP3, Caméra, Lampe de Poche Noir",45.0,HAMMER,3.9
"Téléphone Google Pixel 8 Débloqué 5G, 8Go 256GB Noir volcanique",568.8,Téléphone,4.2
"Samsung Galaxy Z Fold6, Smartphone Android 5G avec Galaxy AI, 256 Go, Chargeur secteur rapide 25W inclus, Smartphone déverrouillé, Bleu nuit, Version FR",0.0,Samsung,4.7
"Samsung Galaxy Z Flip6, Smartphone Android 5G avec Galaxy AI, 256 Go, Chargeur secteur rapide 25W inclus, Smartphone déverrouillé, Gris, Version FR",989.0,Samsung,3.7
"Google Pixel 9 – Smartphone Android débloqué avec Gemini, Appareil Photo avancé, 24 Heures d'autonomie et écran Actua 6,3 Pouces – Rose Pivoine, 256GB",899.0,Google,4.5
Xiaomi Redmi Note 13 4G 6GB RAM 128GB Midnight Black,128.99,Xiaomi,4.3
"Nokia 110 4G 2023 Téléphone Portable Dual Sim, écran Couleur 1,8"", Appareil Photo, Purple [Italie]",46.88,Nokia,3.7
"Doro 8100 Plus 4G Smartphone Débloqué pour Seniors, Résistant à l'eau, avec Triple Caméra, Écran 6.1"", GPS, Reconnaissance Faciale, Socle Chargeur et Étui [Version Française] (Noir)",209.0,Doro,4.1
"Samsung Galaxy A55 5G, Smartphone Android, 256 Go, Chargeur secteur rapide 25W inclus [Exclusivité Amazon], Smartphone déverrouillé, Lilas, Version FR",429.0,Samsung,4.3
"Xiaomi REDMI Note 13 5G Ocean Teal, Ecran 6.67'', Smartphone Débloqué, Batterie mAh 5000, Mémoire ROM 256GO,RAM 8GO, Android 13, MediaTek Dimensity 6080, Gravure en 6nm, Huit-Coeurs Jusqu’à 2,4GHz",185.96,Xiaomi,4.2
Xiaomi 13T 5G 8 256 Go Leica Noir,395.0,Xiaomi,4.4
"Apple iPhone 11, 64Go, Noir - (Reconditionné)",229.0,Apple,3.7
"Xiaomi Redmi Note 13 Pro 16,9 cm (6.67"") Double SIM Android 13 4G USB Type-C 8 Go 256 Go 5000 mAh Violet",225.07,Xiaomi,4.3
"Xiaomi Redmi Note 13 Pro 5G 512GB (Midnight Black, Android 13, 5G, 12 GB LPDDR4X)",406.0,Xiaomi,4.3
"Doro 8100 4G Smartphone Senior - Téléphone Portable - Résistant à l'eau - Triple Caméra - Touche Assistance avec GPS - Écran 6.1"" - Reconnaissance Visage - Android 12 Go (Noir)",210.99,Doro,4.0
"Hammer H Power LTE Télephone avec Boutons Incassable Debloqué IP68 Résistant Etanche Antichoc, Dual SIM, Batterie 3100 mAh, Grosses Touches, Caméra 2mpx, Lampe de Poche, Boost, Noir",73.0,Hammer,3.8
"Samsung Galaxy Z Fold6, Smartphone Android 5G avec Galaxy AI, 256 Go, Chargeur secteur rapide 25W inclus, Smartphone déverrouillé, Bleu nuit, Version FR",0.0,Samsung,4.7
